generation,time_hour,time_minute,month,day_of_week,day,week_of_year,consumption_change,consumption,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
0.0,0,0,1,0,1,1,0.0,0.789,1,-4,0.0,10.0,1,97,-15,-10,-4,-10,30,31,41,0.0,1040,-4,10,12,23
0.0,0,15,1,0,1,1,0.5630000000000001,1.352,1,-4,0.0,10.0,1,97,-15,-10,-4,-10,30,31,41,0.0,1040,-4,10,12,23
0.0,0,30,1,0,1,1,-0.04200000000000004,1.31,1,-4,0.0,10.0,1,97,-15,-10,-4,-10,30,31,41,0.0,1040,-4,10,12,23
0.0,0,45,1,0,1,1,-0.039000000000000146,1.271,1,-4,0.0,10.0,1,97,-15,-10,-4,-10,30,31,41,0.0,1040,-4,10,12,23
0.0,1,0,1,0,1,1,0.30799999999999983,1.5789999999999997,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,43,40,0.0,1040,-3,10,15,23
0.0,1,15,1,0,1,1,-0.2519999999999998,1.327,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,43,40,0.0,1040,-3,10,15,23
0.0,1,30,1,0,1,1,1.0969999999999995,2.4239999999999995,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,43,40,0.0,1040,-3,10,15,23
0.0,1,45,1,0,1,1,-0.4149999999999996,2.009,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,43,40,0.0,1040,-3,10,15,23
0.0,2,0,1,0,1,1,-0.44399999999999995,1.565,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,55,39,0.0,1041,-3,10,17,24
0.0,2,15,1,0,1,1,-0.17799999999999994,1.387,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,55,39,0.0,1041,-3,10,17,24
0.0,2,30,1,0,1,1,-0.006999999999999895,1.3800000000000001,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,55,39,0.0,1041,-3,10,17,24
0.0,2,45,1,0,1,1,-0.06800000000000006,1.312,1,-4,0.0,10.0,1,97,-15,-10,-3,-10,31,55,39,0.0,1041,-3,10,17,24
0.0,3,0,1,0,1,1,0.135,1.447,1,-4,0.0,10.0,1,97,-16,-10,-3,-10,31,68,37,0.0,1041,-3,10,20,24
0.0,3,15,1,0,1,1,0.03299999999999992,1.48,1,-4,0.0,10.0,1,97,-16,-10,-3,-10,31,68,37,0.0,1041,-3,10,20,24
0.0,3,30,1,0,1,1,-0.23699999999999988,1.243,1,-4,0.0,10.0,1,97,-16,-10,-3,-10,31,68,37,0.0,1041,-3,10,20,24
0.0,3,45,1,0,1,1,0.007999999999999785,1.251,1,-4,0.0,10.0,1,97,-16,-10,-3,-10,31,68,37,0.0,1041,-3,10,20,24
0.0,4,0,1,0,1,1,-0.1529999999999998,1.098,1,-4,0.0,10.0,1,97,-16,-9,-2,-9,28,56,35,0.0,1041,-2,10,16,22
0.0,4,15,1,0,1,1,1.1210000000000002,2.2190000000000003,1,-4,0.0,10.0,1,97,-16,-9,-2,-9,28,56,35,0.0,1041,-2,10,16,22
0.0,4,30,1,0,1,1,0.3179999999999996,2.537,1,-4,0.0,10.0,1,97,-16,-9,-2,-9,28,56,35,0.0,1041,-2,10,16,22
0.0,4,45,1,0,1,1,-0.05799999999999983,2.479,1,-4,0.0,10.0,1,97,-16,-9,-2,-9,28,56,35,0.0,1041,-2,10,16,22
0.0,5,0,1,0,1,1,-0.12700000000000067,2.3519999999999994,1,-4,0.0,10.0,1,97,-16,-7,-1,-7,24,44,32,0.0,1041,-1,10,13,20
0.0,5,15,1,0,1,1,0.10700000000000065,2.459,1,-4,0.0,10.0,1,97,-16,-7,-1,-7,24,44,32,0.0,1041,-1,10,13,20
0.0,5,30,1,0,1,1,0.0349999999999997,2.4939999999999998,1,-4,0.0,10.0,1,97,-16,-7,-1,-7,24,44,32,0.0,1041,-1,10,13,20
0.0,5,45,1,0,1,1,-0.07100000000000017,2.4229999999999996,1,-4,0.0,10.0,1,97,-16,-7,-1,-7,24,44,32,0.0,1041,-1,10,13,20
0.0,6,0,1,0,1,1,-0.02499999999999991,2.3979999999999997,1,-4,0.0,10.0,1,97,-16,-6,0,-6,21,33,30,0.0,1040,0,10,10,18
0.0,6,15,1,0,1,1,0.05300000000000038,2.451,1,-4,0.0,10.0,1,97,-16,-6,0,-6,21,33,30,0.0,1040,0,10,10,18
0.0,6,30,1,0,1,1,-0.06199999999999983,2.3890000000000002,1,-4,0.0,10.0,1,97,-16,-6,0,-6,21,33,30,0.0,1040,0,10,10,18
0.0,6,45,1,0,1,1,0.05599999999999916,2.4449999999999994,1,-4,0.0,10.0,1,97,-16,-6,0,-6,21,33,30,0.0,1040,0,10,10,18
0.0,7,0,1,0,1,1,0.034000000000000696,2.479,1,-4,0.0,10.0,1,97,-15,-5,0,-5,21,32,30,0.0,1040,0,10,13,18
0.0,7,15,1,0,1,1,-0.04700000000000015,2.432,1,-4,0.0,10.0,1,97,-15,-5,0,-5,21,32,30,0.0,1040,0,10,13,18
0.0,7,30,1,0,1,1,-0.0640000000000005,2.3679999999999994,1,-4,0.0,10.0,1,97,-15,-5,0,-5,21,32,30,0.0,1040,0,10,13,18
0.003,7,45,1,0,1,1,0.13600000000000012,2.5039999999999996,1,-4,0.0,10.0,1,97,-15,-5,0,-5,21,32,30,0.0,1040,0,10,13,18
0.09,8,0,1,0,1,1,-0.06999999999999984,2.4339999999999997,1,-4,0.0,10.0,1,97,-15,-4,1,-4,20,31,31,0.0,1039,1,10,16,18
0.145,8,15,1,0,1,1,-0.18900000000000006,2.2449999999999997,1,-4,0.0,10.0,1,97,-15,-4,1,-4,20,31,31,0.0,1039,1,10,16,18
0.387,8,30,1,0,1,1,-0.26599999999999957,1.979,1,-4,0.0,10.0,1,97,-15,-4,1,-4,20,31,31,0.0,1039,1,10,16,18
0.543,8,45,1,0,1,1,0.4079999999999995,2.3869999999999996,1,-4,0.0,10.0,1,97,-15,-4,1,-4,20,31,31,0.0,1039,1,10,16,18
1.077,9,0,1,0,1,1,-0.9329999999999994,1.4540000000000002,1,-4,0.0,10.0,1,97,-14,-4,1,-4,20,29,31,0.0,1038,1,10,19,18
0.899,9,15,1,0,1,1,-0.04500000000000015,1.409,1,-4,0.0,10.0,1,97,-14,-4,1,-4,20,29,31,0.0,1038,1,10,19,18
1.218,9,30,1,0,1,1,-0.29400000000000004,1.115,1,-4,0.0,10.0,1,97,-14,-4,1,-4,20,29,31,0.0,1038,1,10,19,18
